regionID,sumDeliveries,zipCode,city,lat,lon
407,1672,39593,ROIZ (VALDALIGA),43.3366,-4.3043107142857115
408,270,44540,ALBALATE DEL ARZOBISPO,41.1217,-0.5114
409,656,21360,"REPILADO, EL",37.9277,-6.7694
410,59646,50006,ZARAGOZA,41.6561,-0.8773
411,1826,28630,VILLA DEL PRADO,40.2785,-4.3053
412,9951,27297,LUGO,43.0099,-7.556
413,137,37250,ALDEADAVILA DE LA RIBERA,41.0354,-6.52035
414,130,8696,"POBLA DE LILLET, LA",42.2449,1.9954
415,413,33790,PUERTO DE VEGA,43.5648,-6.645219999999999
416,5167,8710,SANTA MARGARITA DE MONTBUY,41.55,1.6167
417,1954,14830,ESPEJO,37.6798,-4.5535
418,890,15882,PUENTE LEDESMA (BOQUEIJON),42.8,-8.3333
419,24226,14003,CORDOBA,37.8916,-4.7727
420,752,32644,CALVOS DE RANDIN,41.9479,-7.896
421,1171,40446,MARTIN MUÑOZ DE LAS POSADAS,40.9955,-4.5967
422,762,32200,CORTEGADA,42.2526,-8.1466
423,206,27324,SEOANE (FOLGOSO DE CAUREL),42.6534,-7.1559
424,5908,45519,NOVES,40.0138,-4.294
425,178,49140,TABARA,41.8246,-5.9642
426,300,14440,VILLANUEVA DE CORDOBA,38.3228,-4.6287
427,2173,13200,MANZANARES,38.9991,-3.3699
428,1544,21510,SAN BARTOLOME DE LA TORRE,37.4452,-7.106
429,11913,8783,MASQUEFA,41.5035,1.8114
430,3257,36960,SANXENXO,42.4098,-8.7759
431,324,37797,CALZADA DE VALDUNCIEL,41.0866,-5.7022
432,78,28190,Montejo de la Sierra,41.1433,-3.4174250000000006
433,556,10891,ELJAS,40.2165,-6.8462
434,52022,28890,LOECHES,40.3833,-3.4
435,17076,8798,SANT CUGAT SESGARRIGUES,41.3667,1.75
436,821,13330,VILLANUEVA DE LA FUENTE,38.6946,-2.6964
437,233,28742,LOZOYA,40.9202,-3.7886
438,189246,8028,BARCELONA,41.3888,2.1590000000000003
439,1255,13170,MIGUELTURRA,38.9644,-3.8905
440,2906,36600,VILLAGARCIA DE AROSA,42.5963,-8.7643
441,454,31798,PAMPLONA,43.0,-1.6050000000000002
442,7939,36005,PONTEVEDRA,42.431000000000004,-8.6444
443,646,28730,BUITRAGO DEL LOZOYA,40.9909,-3.6337
444,13492,43700,"VENDRELL, EL",41.2167,1.5333
445,734,46171,CASINOS,39.7,-0.7
446,265,10850,HOYOS,40.1715,-6.7209
447,5142,46450,BENIFAYO,39.2844,-0.426
448,223,10370,DELEITOSA,39.6436,-5.6458
449,4727,28722,VELLON (EL),40.7666,-3.5329
450,3467,37720,PUERTO DE BÉJAR,40.3167,-5.87715
451,890,14650,BUJALANCE,37.8956,-4.3807
452,1566,21639,CANDON,37.3906,-6.7389
453,1604,14800,PRIEGO DE CORDOBA,37.4381,-4.1952
454,1983,12192,VILAFAMES,40.1167,-0.05
455,716,33592,NUEVA LLANES,43.4167,-4.921383333333334
456,2823,50637,REMOLINOS,41.8395,-1.1777
457,549,16444,CERVERA DEL LLANO,39.7831,-2.4202
458,816,40320,CANTALEJO,41.2576,-3.9279
459,1260,23460,PEAL DE BECERRO,37.9134,-3.1215
460,4061,33520,NAVA,43.3581,-5.5106
461,420,27500,CHANTADA,42.6811,-7.7835
462,642,16230,VILLANUEVA DE LA JARA,39.4333,-1.9333
463,855,26144,GALILEA,42.3121,-2.2396666666666665
464,14219,25003,LLEIDA,41.6167,0.6222
465,1874,17532,PUIGCERDA,42.3505,1.9718
466,313,45578,CAMPILLO DE LA JARA (EL),39.5892,-5.0553
467,1284,43596,HORTA DE SAN JUAN,40.95,0.3167
468,2769,39697,SOTO IRUZ,43.2457,-3.9474
469,377,9100,MELGAR DE FERNAMENTAL,42.4044,-4.2448
470,1237,27380,PARGA (SAN ESTEBO),42.8114,-7.438300000000001
471,13067,9006,BURGOS,42.3502,-3.6753
472,348,50450,MUEL,41.4663,-1.085
473,2216,21730,ALMONTE,37.2647,-6.5167
474,2087,9292,MONASTERIO DE RODILLA,42.4149,-3.4205692307692317
475,6682,45007,TOLEDO,39.8581,-4.0226
476,724,26300,NAJERA,42.4182,-2.7287
477,576,9197,VILLALBILLA DE BURGOS,42.41,-3.722875
478,3527,50191,JUSLIBOL,41.625,-1.0346
479,2021,16400,TARANCON,40.0085,-3.0073
